SMILES,PCE (%)
O(C1=CC=C(C=C1)N(C2=CC=C(C=C2)N3C=4C=CC=CC4C=5C=CC=CC53)C=6C=CC7=C(C6)C(C8=C7C9=C(C=%10C=CC(=CC%10C9(CCCCCC)CCCCCC)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(C=C%12)N%13C=%14C=CC=CC%14C=%15C=CC=CC%15%13)C%16=C8C=%17C=CC(=CC%17C%16(CCCCCC)CCCCCC)N(C%18=CC=C(OC)C=C%18)C%19=CC=C(C=C%19)N%20C=%21C=CC=CC%21C=%22C=CC=CC%22%20)(CCCCCC)CCCCCC)C,17.1
C=1C=CC(=CC1)N(C2=CC=C(C=C2)C=3C=CC(=CC3)N(C4=CC=C(C=CC5=CC=C6C(=C5)C=7C=CC=CC7N6CC)C=C4)C8=CC=C(C=C8)C)C9=CC=C(C=C9)C,13.1
O(C1=CC=C(C=C1)N(C2=CC=C(C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C)C5=CC=C(C=C5)C)C=C2)C6=CC=C(C=CC7=CC=C(C=C7)N(C8=CC=C(C=C8)C)C9=CC=C(C=C9)C)C=C6)C,15.4
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4SC5=C6SC(=CC6=C7C=C(SC7=C5C4)C8=CC=C(C=C8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=%11C=CC(=CC%11)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C,18.97
C(=CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=4C=CC(=CC4)C5=CC=C(C=CC6=CC=C(C=C6)N(C7=CC=C(C=C7)C)C8=CC=C(C=C8)C)C=C5,12.34
C1(=CC=C(C=C1)N(C=1C=CC=2C3=CC=C(C=C3C3=CC=CC1C23)N(C2=CC=C(C=C2)C)C2=CC=C(C=C2)C)C2=CC=C(C=C2)C)C,11.19
COc%19ccc(N(c1ccc(OC)cc1)c%18ccc(c8cc7c5cc(c4ccc(N(c2ccc(OC)cc2)c3ccc(OC)cc3)cc4)sc5c6cc%17c(cc6c7s8)c%12sc(c%11ccc(N(c9ccc(OC)cc9)c%10ccc(OC)cc%10)cc%11)cc%12c%16cc(c%15ccc(N(c%13ccc(OC)cc%13)c%14ccc(OC)cc%14)cc%15)sc%16%17)cc%18)cc%19,18.1
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=6C=CC(=CC6)N(C7=CC=C(C=CC8=CC=C(C=C8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C7)C%11=CC=C(C=CC%12=CC=C(C=C%12)N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C(=C%11)C)C%15=CC=C(C=CC%16=CC=C(C=C%16)N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C(=C%15)C)C=C3)C,15.28
C(C)C(CC1=CC=C(S1)C1=C2C(S[C]=C2)=C(C2=C1SC(=C2)C=2C=1C(SC2C(C(CCCC)CC)=O)=CS[C]1)C=1SC(=CC1)CC(CCCC)CC)CCCC,9.3
C=1C=C(C=CC1N(C2=CC=C(C=C2)C)C3=CC=C4C5=CC=C(C=C5C6(C4=C3)C7=CC(=CC=C7C8=CC=C(C=C86)N(C9=CC=C(C=C9)C)C%10=CC=C(C=C%10)C)N(C%11=CC=C(C=C%11)C)C%12=CC=C(C=C%12)C)N(C%13=CC=C(C=C%13)C)C%14=CC=C(C=C%14)C)C,18.38
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC4=C3C(C=CC(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)=C7)=C7C84C9=C(C=CC(N(C%10=CC=C(C=C%10)OC)C%11=CC=C(C=C%11)OC)=C9)C%12=C8C=C(N(C%13=CC=C(C=C%13)OC)C%14=CC=C(C=C%14)OC)C=C%12,2.3
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C4C5=CC=C(C=C5C6(C4=C3)C7=CC(=CC=C7C8=CC=C(C=C86)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C,14.9
O1C2=CSC(C=CC3=CC=C(C=C3)N(C=4C=CC(=CC4)C5=CC=C(C=C5)N(C=6C=CC=CC6)C7=CC=C(C=C7)C)C8=CC=C(C=C8)C)=C2OCC1,10.29
